receiver,tackler
J.Randle (DAL),D.Rodgers-Cromartie (NYG)
J.Randle (DAL),J.Thomas (NYG)
L.Dunbar (DAL),M.Herzlich (NYG)
S.Vereen (NYG),B.Church (DAL)
D.Bryant (DAL),P.Amukamara (NYG)
R.Randle (NYG),T.Patmon (DAL)
P.Parker (NYG),B.Carr (DAL)
P.Parker (NYG),T.Patmon (DAL)
J.Witten (DAL),J.Thomas (NYG)
T.Williams (DAL),T.McBride (NYG)
C.Beasley (DAL),P.Amukamara (NYG)
T.Williams (DAL),D.Rodgers-Cromartie (NYG)
C.Beasley (DAL),U.Unga (NYG)
S.Vereen (NYG),K.Wilber (DAL)
O.Beckham (NYG),B.Church (DAL)
L.Dunbar (DAL),L.Collins (NYG)
L.Dunbar (DAL),J.Casillas (NYG)
S.Vereen (NYG),T.Crawford (DAL)
D.Murray (PHI),P.Adams (ATL)
J.Jones (ATL),N.Carroll (PHI)
R.White (ATL),M.Jenkins (PHI)
D.Sproles (PHI),P.Worrilow (ATL)
J.Jones (ATL),B.Maxwell (PHI)
R.White (ATL),B.Maxwell (PHI)
D.Freeman (ATL),B.Maxwell (PHI)
J.Huff (PHI),W.Moore (ATL)
Z.Ertz (PHI),R.Allen (ATL)
B.Celek (PHI),W.Moore (ATL)
L.Toilolo (ATL),D.Ryans (PHI)
D.Sproles (PHI),K.Biermann (ATL)
R.Cooper (PHI),P.Worrilow (ATL)
J.Matthews (PHI),K.Biermann (ATL)
J.Huff (PHI),P.Worrilow (ATL)
J.Matthews (PHI),J.Durant (ATL)
Z.Ertz (PHI),W.Moore (ATL)
J.Matthews (PHI),M.Goodman (ATL)
D.Murray (PHI),W.Moore (ATL)
L.Hankerson (ATL),M.Jenkins (PHI)
J.Jones (ATL),K.Alonso (PHI)
J.Tamme (ATL),B.Graham (PHI)
D.Freeman (ATL),M.Jenkins (PHI)
J.Tamme (ATL),M.Jenkins (PHI)
N.Williams (ATL),B.Maxwell (PHI)
M.Austin (PHI),P.Adams (ATL)
R.Mathews (PHI),W.Moore (ATL)
R.Mathews (PHI),P.Worrilow (ATL)
R.Mathews (PHI),D.Trufant (ATL)
D.Sproles (PHI),K.Ishmael (ATL)
J.Jones (ATL),C.Maragos (PHI)
L.Hankerson (ATL),W.Thurmond (PHI)
J.Tamme (ATL),K.Alonso (PHI)
J.Matthews (PHI),V.Beasley (ATL)
Z.Ertz (PHI),J.Collins (ATL)
D.Freeman (ATL),M.Kendricks (PHI)
J.Matthews (PHI),P.Worrilow (ATL)
N.Agholor (PHI),P.Worrilow (ATL)
D.Sproles (PHI),J.Durant (ATL)
R.Mathews (PHI),R.Allen (ATL)
R.Cooper (PHI),R.Allen (ATL)
D.Sproles (PHI),W.Moore (ATL)
T.Smith (SF),T.Newman (MIN)
G.Celek (SF),H.Smith (MIN)
